TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_NUMBER_FOUR,4,4,4,4,4,4,4,4,4,4,4,4,4
TID_NUMBER_ONE,1,1,1,1,1,1,1,1,1,1,1,1,1
TID_NUMBER_TARGETS,Number of targets: <number>,Nombre de cibles : <number>,Anzahl Ziele: <number>,Cantidad de objetivos: <number>,Numero di bersagli: <number>,Aantal doelwitten: <number>,Antall mål: <number>,Número de alvos: <number>,Hedef sayısı: <number>,標的数：<number>,目标数量：<number>,표적 수: <number>,Целей: <number>
TID_NUMBER_THREE,3,3,3,3,3,3,3,3,3,3,3,3,3
TID_NUMBER_TWO,2,2,2,2,2,2,2,2,2,2,2,2,2
TID_OBSTACLE_BUSH,Bush,Buisson,Busch,Arbusto,Cespuglio,Struik,Busk,Arbusto,Çalı,やぶ,灌木,덤불,Куст
TID_OBSTACLE_CLEAR_TIME,Removal time,Temps nécessaire à la suppression :,Entfernungszeit,Tiempo eliminación,Tempo rimozione,Verwijdertijd,Fjerningstid,Tempo de remoção,Kaldırma süresi,取り除くのにかかる時間,移除时间,제거 시간,Время уборки
TID_OBSTACLE_MUSHROOM,Mushroom,Champignon,Pilz,Seta,Fungo,Paddenstoel,Sopp,Cogumelo,Mantar,キノコ,蘑菇,꽃버섯,Гриб
TID_OBSTACLE_STONE,Stone,Rocher,Stein,Piedra,Pietra,Steen,Stein,Pedra,Taş,岩,石头,바위,Камень
TID_OBSTACLE_TOMBSTONE,Tombstone,Pierre tombale,Grabstein,Lápida,Lapide,Grafsteen,Gravstein,Lápide,Mezar Taşı,墓石,墓碑,묘비,Надгробие
TID_OBSTACLE_TREE,Tree,Arbre,Baum,Árbol,Albero,Boom,Tre,Árvore,Ağaç,木,树,나무,Дерево
TID_OBSTACLE_TRUNK,Trunk,Tronc,Stamm,Tronco,Tronco,Stronk,Trestamme,Tronco,Kütük,木の幹,树干,나무 기둥,Сухой Ствол
TID_OBSTACLE_XMASPRESENT,Present,Cadeau,Geschenk,Regalo,Regalo,Cadeau,Gave,Presente,Hediye,プレゼント,礼物,선물,Подарок
TID_OBSTACLE_XMASTREE,X-Mas Tree,Sapin de Noël,Weihnachtsbaum,Árbol de Navidad,Albero di Natale,Kerstboom,Juletre,Árvore de Natal,Noel Ağacı,Xマスツリー,圣诞树,크리스마스트리,Новогодняя Елка
TID_OPEN_GAMECENTER_BUTTON,Open Game Center,Ouvrir le Game Center,Game Center öffnen,Abrir Game Center,Apri Game Center,Open Game Center,Åpne Game Center,Abrir Game Center,Game Center'ı aç,Game Center を開く,打开苹果游戏中心,Game Center 실행,Открыть Game Center
TID_OPEN_GAMECENTER_BUTTON_ANDROID,Sign in to Google,Se connecter à Google,Bei Google anmelden,Iniciar sesión en Google,Accedi a Google,Meld je aan bij Google,Logg på Google,Conectar-se ao Google,Google'a giriş yap,Googleにサインイン,登录Google,Google 계정 로그인,Войти в Google+
TID_OTHER_SPELL_LEFT,Select a different spell,Sélectionnez un autre sort,Wähle einen anderen Zauberspruch aus,Elige un hechizo distinto,Scegli un altro incantesimo,Selecteer een andere spreuk,Velg en annen magi,Selecione um feitiço diferente,Farklı bir büyü seçin,別の呪文を選択してください,请选择其他法术,다른 마법을 선택하세요.,Выберите другое заклинание
TID_OTHER_TROOP_LEFT,Select a different unit,Sélectionnez une autre unité,Wähle eine andere Einheit,Selecciona una unidad diferente.,Seleziona un´altra unità,Kies een andere eenheid,Velg en annen enhet,Selecione uma unidade diferente,Farklı bir birim seç,別のユニットを選択してください,该兵种已用完，请选择其他兵种！,다른 유닛을 선택하세요.,Выберите другое подразделение
TID_OUTCOME,Outcome:,Résultat :,Resultat:,Resultado:,Risultato:,Resultaat:,Resultat:,Resultado:,Sonuç:,結果,结果：,결과:,Исход:
TID_OVERALL_DAMAGE,Overall Damage,Dégâts globaux,Gesamtschaden,Daño general,Danno complessivo,Algemene schade,Generell skade,Dano geral:,Toplam Hasar,合計ダメージ,战果,총 피해량,Всего Ущерба
TID_PEKKA,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A.,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,皮卡超人,P.E.K.K.A.,П.Е.К.К.А.
TID_PERSONAL_BREAK_ATTACK_DISABLED,Attacking is disabled for a few minutes.,Les attaques seront désactivées pendant quelques minutes.,Angreifen wurde für einige Minuten deaktiviert.,El ataque está desactivado durante unos minutos.,L'attacco è disabilitato per qualche minuto.,Je kunt een paar minuten lang niet aanvallen.,Angrep er deaktivert i noen få minutter.,O ataque foi desativado por alguns minutos.,Birkaç dakika süresince saldırı yapılamaz.,数分間、攻撃できません。,未来几分钟内您将无法发起进攻。,몇 분 동안 공격할 수 없습니다.,Невозможно атаковать в течение нескольких минут.
TID_PERSONAL_BREAK_STARTED,You have been online too long and will be soon kicked out for a few minutes.,Vous jouez depuis trop longtemps : vous allez être exclu du jeu pendant quelques minutes.,Du warst zu lange online und wirst bald für einige Minuten gekickt.,Llevas conectado demasiado tiempo y pronto serás expulsado unos minutos.,Sei rimasto online troppo a lungo e sarai disconnesso per qualche minuto.,Je bent al te lang online dus je wordt er een paar minuten vanaf geknikkerd.,Du har vært pålogget for lenge og vil snart bli kastet ut noen få minutter.,Você está online há muito tempo e logo será desconectado por alguns minutos.,"Uzun süredir çevrimiçisin, birazdan birkaç dakikalığına atılacaksın.",連続オンライン時間が長すぎるため、間もなく数分間だけ強制的にオフラインになります。,您在线时间过长，系统将在几分钟后强制您下线。,너무 오랫동안 온라인 상태를 유지해서 게임이 잠시 후 종료되고 몇 분 동안은 실행할 수 없습니다.,Вы играли слишком долго и скоро будете ненадолго изгнаны.
TID_PLACED_AFTER_SHUFFLE_POPUP_TITLE,You've been placed in a League!,Vous êtes classé dans une ligue !,Du wurdest in einer Liga platziert!,¡Te has unido a una liga!,Sei stato inserito in una lega!,Je bent in een Divisie geplaatst!,Du har blitt plassert i en liga!,Você está participando de uma liga!,Bir Lig'e yerleştirildin!,リーグ入りしました！,您已进入联赛！,리그에 진입했습니다!,Вы попали в Лигу!
TID_PLACEMENT_HINT,Tap or press and hold to deploy troops,Appuyez ou maintenez appuyé pour déployer vos troupes.,"Antippen oder drücken und gedrückt halten, um Truppen einzusetzen",Toca o pulsa y mantén pulsado para desplegar las tropas,Tocca o premi e tieni premuto per schierare le truppe,Tik of houd ingedrukt om troepen in te zetten,Trykk eller trykk og hold for å utplassere soldater,Toque ou pressione e segure para mobilizar as tropas,Askerleri konuşlandırmak için dokun ya da bas ve basılı tut,タップか長押しでユニットを配置できます,点击或按住屏幕可以派出军队,유닛을 투입하려면 탭하거나 길게 누르세요.,"Коснитесь или нажмите и удерживайте, чтобы развернуть войска."
TID_PLACEMENT_HINT_TUTORIAL1,Tap multiple times in an empty area to deploy your troops,Touchez plusieurs fois les zones vides pour y déployer vos troupes,"Tippe mehrmals auf ein freies Gebiet, um deine Truppen hinzuschicken",Toca varias veces en una zona vacía para desplegar tus tropas.,Tocca più volte un'area vuota per schierare le tue truppe.,Tik meerdere keren op een leeg gebied om je troepen in te zetten,Trykk flere ganger på et tomt område for å utplassere soldatene dine,Toque várias vezes em uma área vazia para implantar suas tropas,Askerlerini göndermek için boş bir yere birden fazla kez dokun,何もない場所を複数回タップして\nユニットを配置してください,在空地多次点击屏幕可以派出军队,빈 공간을 여러 번 탭하여 유닛을 투입하세요.,"Коснитесь несколько раз в пустом месте, чтобы развернуть войска."
TID_PLACEMENT_HINT_TUTORIAL2,You can deploy multiple troops by holding down your finger,Vous pouvez déployer plusieurs troupes en restant appuyé,"Du kannst mehrere Truppen schicken, indem du mit deinem Finger gedrückt hältst",Puedes desplegar varias tropas si mantienes el toque con el dedo.,Puoi schierare più truppe per volta tenendo premuto con il dito.,Zet meerdere troepen in door je vinger op het scherm vast te houden,Du kan utplassere flere soldater ved å holde fingeren nede,Você pode implantar várias unidades mantendo o dedo pressionado,Parmağını basılı tutarak birden fazla asker gönderebilirsin,長押しでユニットをまとめて配置できます,按住屏幕不放可以迅速地派出军队,길게 누르면 여러 유닛이 투입됩니다.,"Если нажать и не отпускать, можно сразу развернуть больше войск."
TID_PLAYER_ALREADY_REPORTED,You have already reported this player!,Vous avez déjà signalé ce joueur !,Du hast diesen Spieler bereits gemeldet!,¡Ya has denunciado a este jugador!,Hai già segnalato questo giocatore!,Je hebt deze speler al gerapporteerd,Du har allerede rapportert denne spilleren!,Você já reportou este jogador!,Bu oyuncuyu zaten bildirdiniz!,このプレイヤーはすでに報告しました！,您已经举报过这位玩家了！,이미 신고한 사용자입니다!,Вы уже сообщили об этом игроке!
TID_PLAYER_ATTACKING_YOU,Players attacking you:,Joueurs qui vous attaquent :,Dich angreifende Spieler:,Jugadores atacándote:,Giocatori che ti attaccano:,Spelers die jou aanvallen:,Spillere angriper deg:,Ataques sofridos:,Saldıran oyuncular:,攻撃してきたプレイヤー,正在攻击您的玩家：,공격 중인 사용자:,"Игроки, напавшие на вас:"
TID_PLAYER_LEADERBOARDS,Top Players,Meilleurs joueurs,Beste Spieler,Mejores jugadores,Migliori giocatori,Beste spelers,Toppspillere,Melhores Jogadores,En İyi Oyuncular,プレイヤーランキング,顶级玩家,상위권 사용자,Лучшие Игроки
TID_PLAYER_MUTED,Player muted!,Joueur muet !,Spieler stumm geschalten!,¡Silenciado!,Giocatore zittito!,Speler gedempt!,Spiller dempet!,Jogador bloqueado!,Oyuncu susturuldu!,プレイヤーをミュートしました！,玩家已屏蔽！,사용자를 차단했습니다!,Игрок заглушен!
TID_PLAYER_REPORTED_SUCCESSFULLY,Player reported!,Le joueur a été signalé !,Spieler wurde gemeldet!,¡Jugador denunciado!,Giocatore segnalato!,Speler gerapporteerd!,Spiller rapportert!,Jogador reportado!,Oyuncu bildirildi!,プレイヤーを報告しました！,已举报该玩家！,사용자 신고 완료!,Об игроке сообщено!
TID_PLUS_ONE_CLAN_STAR,+1 War Star,+1 étoile de guerre,+1 Kriegsstern,+1 estrella de guerra,+ 1 stella di guerra,+1 oorlogsster,+1 krigsstjerne,+1 estrela de guerra,+1 Savaş Yıldızı,戦の星+1,+1 胜利之星,전쟁 별 +1,+1 боевая звезда
TID_POPUP_ABOUT_TO_CANCEL_SPELL,Canceling spells in the queue will return only <number>% of the cost.,Annuler les sorts en attente ne vous rendra que <number>% de leur coût.,Das Abbrechen von Zaubersprüchen in der Warteschlange wird nur <number> % der Kosten erstatten.,Al cancelar los hechizos de la cola solo recuperarás el <number> % del coste.,Annullare gli incantesimi in coda restituirà solo <number>% del costo.,Spreuken in de wachtrij annuleren geeft slechts <number>% van de kosten terug.,Avbrytelse av magi i køen vil kun gjengi <number>% av kostnaden.,Cancelar feitiços na fila retornará somente <number>% do custo.,Sıradaki büyü iptal edilirse maliyetin %<number> kadar olan kısmı iade edilir.,呪文の準備予約をキャンセルした場合、コストの <number>% しかもどってきません。,取消等待队列中的法术只会返还<number>%的费用。,대기열의 마법 제작을 취소하면 제작 비용의 <number>%만 돌려받습니다.,При удалении заклинаний из очереди вернется только <number> % от их стоимости.
TID_POPUP_ABOUT_TO_SELL,Are you sure?,Confirmer ?,Bist du sicher?,¿Seguro?,Sei sicuro?,Weet je het zeker?,Er du sikker?,Tem certeza?,Emin misin?,売りますか？,您确定出售吗？,정말요?,Уверены?
TID_POPUP_ABOUT_TO_SELL_TITLE,Sell building,Vendre le bâtiment,Gebäude verkaufen,Vender edificio,Vendi edificio,Gebouw verkopen,Selg bygning,Vender edifício,Binayı sat,建物を売る,出售,건물 판매,Продать здание
TID_POPUP_ACHIEVEMENTS_TITLE,Achievements,Succès,Errungenschaften,Logros,Obiettivi,Prestaties,Prestasjoner,Conquistas,Başarılar,達成項目,成就,도전 과제,Достижения
TID_POPUP_ANDROID_EXIT,Do you want to quit the game?,Voulez-vous quitter le jeu ?,Möchtest du das Spiel wirklich verlassen?,¿Quieres salir del juego?,Vuoi abbandonare la partita?,Wil je het spel verlaten?,Er du sikker på at du vil avslutte spillet?,Você quer sair do jogo?,Oyundan çıkmak istiyor musunuz?,ゲームを終了しますか？,你要离开这个游戏吗？,게임을 종료할까요?,Вы точно хотите выйти из игры?
TID_POPUP_ANDROID_EXIT_TITLE,Confirm Exit,Confirmation de l'arrêt,Verlassen bestätigen,Confirmar,Conferma uscita,Verlaten bevestigen,Bekreft avslutning,Confirmar saída,Çıkışı Onayla,終了の確認,确定退出,종료 확인,Подтвердить Выход
TID_POPUP_BOOST_BARRACKS,Boost the training speed by <multiplier>x for <time>?,Accélérer la vitesse d'entraînement par <multiplier>x pendant <time> ?,Trainingsgeschwindigkeit für <time> um <multiplier> erhöhen?,¿Acelerar el entrenamiento en <multiplier>x durante <time>?,Vuoi moltiplicare la velocità di addestramento per <multiplier> per <time>?,De trainingssnelheid met <multiplier>x vergroten gedurende <time>?,Øke treningshastigheten med <multiplier>x i <time>?,Acelerar a velocidade de treinamento em <multiplier>x por <time>?,"Eğitim hızını, <time> süreliğine <multiplier> kez arttır?",訓練の速度を <time> だけ <multiplier> 倍にしますか？,在<time>内将训练速度提高<multiplier>倍吗？,<time> 동안 훈련 속도를 <multiplier>배로 가속할까요?,Увеличить скорость тренировки (в <multiplier> р.) на <time>?
TID_POPUP_BOOST_DARK_ELIXIR_COLLECTOR,Double the dark elixir production for <time>?,Doubler la production d'élixir noir pendant <time> ?,Produktion für Dunkles Elixier für <time> verdoppeln?,¿Quieres doblar la producción de Elixir Oscuro durante <time>?,Raddoppiare la produzione di Elisir nero per <time>?,De productietijd van duister elixer gedurende <time> verdubbelen?,Fordoble produksjonen av mørk eliksir i <time>?,Dobrar a produção de elixir negro para <time>?,Kara iksir üretimini <time> süreliğine iki katına çıkar,ダークエリクサーの生産を <time> だけ 2倍 にしますか？,确定在<time>内加倍暗黑重油的产量吗？,<time> 동안 다크 엘릭서를 두 배로 생산할까요?,Удвоить производство черного эликсира на <time>?
TID_POPUP_BOOST_ELIXIR_COLLECTOR,Double the elixir production for <time>?,Doubler la production d'élixir pendant <time> ?,Elixier-Produktion für <time> verdoppeln?,¿Duplicar la producción de elixir durante <time>?,Vuoi raddoppiare la produzione di elisir per <time>?,De productie van elixer verdubbelen gedurende <time>?,Fordoble eliksirproduksjonen i <time>?,Dobrar a produção de elixir por <time>?,<time> süreliğine iksir üretimini iki katına çıkar?,エリクサーの生産を <time> だけ 2 倍にしますか？,确定在<time>内加倍圣水产量吗？,<time> 동안 엘릭서를 두 배로 생산할까요?,Удвоить производство эликсира на <time>?
TID_POPUP_BOOST_GOLD_MINE,Double the gold production for <time>?,Doubler la production d'or pendant <time> ?,Gold-Produktion für <time> verdoppeln?,¿Duplicar la producción de oro durante <time>?,Vuoi raddoppiare la produzione d'oro per <time>?,De productie van goud verdubbelen gedurende <time>?,Fordoble gullproduksjonen i <time>?,Dobrar a produção de ouro por <time>?,<time> süreliğine altın üretimini iki katına çıkar?,ゴールドの生産を <time> だけ 2 倍にしますか？,确定在<time>内加倍黄金产量吗？,<time> 동안 골드를 두 배로 생산할까요?,Удвоить скорость добычи золота на <time>?
TID_POPUP_BOOST_HERO_REST,Boost the hero's healing rate by <multiplier>x for <time>?,Accélérer le taux de guérison du héros par <multiplier>x pendant <time> ?,Heilungsgeschwindigkeit für <time> um das <multiplier>-Fache erhöhen?,¿Quieres multiplicar x<multiplier> la velocidad de curación del héroe durante <time>?,Vuoi moltiplicare il tasso di guarigione dell'eroe di <multiplier> per <time>?,De genezingskracht van de held <multiplier> x sterker maken gedurende <time>?,Øke heltens helbredelsesrate med <multiplier>x i <time>?,Acelerar a velocidade de cura do herói em <multiplier>x por <time>?,Kahramanın iyileştirmesi <time> süreliğine <multiplier> kez arttırılsın mı?,ヒーローの回復速度を <time>だけ <multiplier> 倍にしますか？,在<time>内将英雄的恢复速度提高<multiplier>倍吗？,<time> 동안 영웅의 회복 속도를 <multiplier>배로 가속할까요?,Увеличить скорость исцеления героя в <multiplier> р. на <time>?
TID_POPUP_BOOST_SPELL_FACTORY,Boost the spell creation speed by <multiplier>x for <time>?,Accélérer la création de sorts par <multiplier>x pendant <time> ?,Zaubersprucherzeugungs-Geschwindigkeit für <time> um <multiplier> erhöhen?,¿Acelerar la creación de hechizos en <multiplier>x durante <time>?,Vuoi moltiplicare la velocità di creazione degli incantesimi per <multiplier> per <time>?,De spreukproductie met <multiplier>x versnellen gedurende <time>?,Øke hastigheten på magiproduksjon med <multiplier>x i <time>?,Acelerar a velocidade de criação de feitiço em <multiplier>x por <time>?,"Büyü oluşturma hızını, <time> süreliğine <multiplier> kez arttır?",呪文の作成速度を <time> だけ <multiplier> 倍にしますか？,在<time>内将法术配制速度提高<multiplier>倍吗？,<time> 동안 마법 제작 속도를 <multiplier>배로 가속할까요?,Увеличить скорость создания заклинаний (в <multiplier> р.) на <time>?
TID_POPUP_CANCEL_CLEAR,Do you really want to stop removing <item>?,Êtes-vous certain d'arrêter la suppression de <item> ?,Möchtest du wirklich aufhören <item> zu entfernen?,¿Realmente quieres detener la eliminación de <item>?,Sei sicuro di voler fermare la rimozione di <item>?,Weet je zeker dat je <item> niet meer wilt verwijderen?,Vil du virkelig stoppe fjerning av <item>?,Você realmente quer parar de remover <item>?,<item> kaldırmayı durdurmak istiyor musun?,本当に<item>を取り除くのをやめますか？,确定停止移除<item>？,<item> 제거를 중단할까요?,<item>: точно отменить удаление?
TID_POPUP_CANCEL_CLEAR_TITLE,Stop removal?,Arrêter la suppression ?,Entfernen anhalten?,¿Detener la eliminación?,Vuoi fermare la rimozione?,Verwijderen stoppen?,Stopp fjerning?,Parar remoção?,Kaldırmayı durdur?,取り除くのをやめますか？,停止移除障碍？,제거 중단?,Прекратить уборку?
TID_POPUP_CANCEL_CONSTRUCTION,Do you really want to stop constructing <item>? Only <number>% of the cost will be refunded.,Êtes-vous sûr de vouloir arrêter la construction de <item> ? Seul <number>% du coût sera remboursé.,Möchtest du wirklich mit dem Bau von <item> aufhören? Nur <number> % der Kosten werden erstattet.,¿Seguro que quieres detener la construcción de tu <item>? Solo recuperarás el <number> % del coste.,Sei sicuro di voler smettere di costruire <item>? Solo il <number>% del costo sarà rimborsato.,Wil je echt stoppen met <item> bouwen? Slechts <number>% van de kosten wordt teruggegeven.,Vil du virkelig stoppe bygging av <item>? Kun <number>% av kostnaden vil refunderes.,Você quer realmente parar de construir o <item>? Apenas <number>% do custo será reembolsado.,<item> öğesini inşa etmeyi durdurmayı istiyor musun? Maliyetin sadece %<number> kadarı iade edilir.,<item>の建設をやめますか？　建設コストの <number>% しかもどりません。,确定停止建造<item>吗？停止后只能返还<number>%的费用。,<item> 건설을 중단할까요? 중단하면 건설 비용의 <number>%만 돌려받습니다.,"Вы уверены, что хотите остановить строительство <item>? Вам будет возвращено только <number> % стоимости."
TID_POPUP_CANCEL_CONSTRUCTION_TITLE,Stop construction?,Arrêter la construction ?,Bau anhalten?,Detener la construcción,Vuoi fermare la costruzione?,Bouwen stoppen?,Stopp bygging?,Parar a construção?,İnşaatı durdur?,建設をやめますか？,停止建造？,건설 중단?,Прекратить строительство?
TID_POPUP_CANCEL_UPGRADE,Do you really want to stop upgrading <item>? Only <number>% of the cost will be refunded.,Êtes-vous sûr de vouloir arrêter l'amélioration de <item> ? Seul <number>% du coût sera remboursé.,Möchtest du wirklich mit dem Upgrade von <item> aufhören? Nur <number> % der Kosten werden erstattet.,¿Seguro que quieres detener la mejora de tu <item>? Solo recuperarás el <number> % del coste.,Vuoi davvero fermare l'aggiornamento di <item>? Solo il <number>% del costo sarà rimborsato.,Wil je echt stoppen met <item> upgraden? Slechts <number>% van de kosten wordt teruggegeven.,Vil du virkelig stoppe oppgradering av <item>? Kun <number>% av kostnaden vil refunderes.,Você quer realmente parar de atualizar o <item>? Apenas <number>% do custo será reembolsado.,<item> yükseltmeyi durdurmayı istiyor musun? Maliyetin sadece %<number> kadarı iade edilir.,<item>のアップグレードをやめますか？　アップグレードコストの <number>% しかもどりません。,确定停止升级<item>吗？停止后只会返还<number>%的费用。,<item> 업그레이드를 중단할까요? 중단하면 업그레이드 비용의 <number>%만 돌려받습니다.,"Вы уверены, что хотите остановить улучшение <item>? Вам будет возвращено только <number> % стоимости."
TID_POPUP_CANCEL_UPGRADE_TITLE,Stop upgrade?,Arrêter l'amélioration ?,Upgrade anhalten?,¿Detener la mejora?,Vuoi fermare l'aggiornamento?,Upgrade stoppen?,Stopp oppgradering?,Parar atualização?,Yükseltmeyi durdur?,アップグレードをやめますか？,停止升级？,업그레이드 중단?,Прекратить улучшение?
TID_POPUP_CHANGE_LANGUAGE,Are you sure you want to change the language settings?,Voulez-vous vraiment modifier les paramètres de langue ?,Willst du die Spracheinstellungen wirklich ändern?,¿Estas seguro de que quieres cambiar el idioma?,Vuoi davvero modificare le impostazioni lingua?,Weet je zeker dat je de taalinstellingen wilt veranderen?,Er du sikker på at du vil endre språkinnstillingene?,Tem certeza de que deseja alterar as configurações de idioma?,Dil ayarlarını değiştirmek istediğinize emin misiniz?,言語設定を変更しますか？,您确定要更改语言设置吗？,정말로 언어 설정을 변경할까요?,Вы точно хотите изменить языковые настройки?
TID_POPUP_CHANGE_LANGUAGE_TITLE,Language settings,Paramètres de langue,Spracheinstellungen,Configuración de idioma,Impostazioni lingua,Taalinstellingen,Språkinnstillinger,Configurações de idioma,Dil ayarları,言語設定,语言设置,언어 설정,Настройки языка
TID_POPUP_COPY_BASE_LAYOUT,Copy layout?,Copier le plan ?,Layout kopieren?,¿Copiar distribución?,Copiare la disposizione?,Indeling kopiëren?,Kopiere layout?,Copiar layout?,Tasarım kopyalansın mı?,レイアウトをコピーしますか？,要复制布局吗？,복사할까요?,Скопировать планировку?
TID_POPUP_EDIT_MODE_COLLECT,Are you sure you want to collect all buildings?,Voulez-vous vraiment collecter tous les bâtiments ?,Willst du wirklich alle Gebäude sammeln?,¿Seguro que quieres recoger todos los edificios?,Vuoi davvero prendere tutti gli edifici?,Weet je zeker dat je alle gebouwen wilt verzamelen?,Er du sikker på at du vil samle alle bygningene?,Tem certeza de que quer coletar todas as construções?,Bütün binaları toplamak istediğinden emin misin?,本当にすべての建物から回収しますか？,您确定要收集全部建筑吗？,모든 건물을 수집할까요?,Вы точно хотите собрать все здания?
TID_POPUP_EDIT_MODE_COLLECT_TITLE,Collect All,Tout collecter,Alles sammeln,Recoger todo,Prendi tutti,Alle verzamelen,Samle alle,Coletar tudo,Hepsini Topla,すべて回収,收集全部,전체 수집,Собрать Все
TID_POPUP_EDIT_MODE_DISCARD,Are you sure you want to exit edit mode and discard your changes?,Voulez-vous vraiment quitter le mode Édition et annuler vos modifications ?,Willst du den Bearbeitungsmodus wirklich verlassen und die Änderungen verwerfen?,¿Seguro que quieres salir del modo Edición y descartar los cambios?,Vuoi davvero uscire dalla modalità Modifica e annullare le tue modifiche?,Weet je zeker dat je de bewerkingsmodus wilt afsluiten en de wijzigingen wilt negeren?,Er du sikker på at du vil avslutte redigeringsmodus og forkaste endringene dine?,Tem certeza de que quer sair do modo de edição e descartar suas alterações?,"Düzenleme modundan çıkıp, değişiklikleri iptal etmek istediğinden emin misin?",本当に編集モードを終了して、変更を破棄しますか？,您确定要退出编辑模式并放弃更改吗？,변경된 사항을 무시하고 배치 모드를 종료할까요?,"Вы уверены, что хотите выйти из режима изменения и отменить все внесенные изменения?"
TID_POPUP_EDIT_MODE_DISCARD_TITLE,Exit Edit Mode,Quitter le mode Édition,Bearbeitungsmodus verlassen,Salir de Edición,Esci dalla modalità Modifica,Bewerkingsmodus verlaten,Avslutt redigeringsmodus,Sair do modo de edição,Düzenleme Modundan Çık,編集モードを終了,退出编辑模式,배치 모드 종료,Выйти из Режима Изменения
TID_POPUP_EDIT_MODE_SAVE,Are you sure you want to save your changes?,Voulez-vous vraiment enregistrer vos modifications ?,Willst du die Änderungen wirklich speichern?,¿Seguro que quieres guardar los cambios?,Vuoi davvero salvare le tue modifiche?,Weet je zeker dat je alle wijzigingen wilt bewaren?,Er du sikker på at du vil lagre endringene?,Tem certeza de que quer salvar suas alterações?,Değişiklikleri kaydetmek istediğinden emin misin?,本当に変更を保存しますか？,您确定要保存更改吗？,저장할까요?,Вы точно хотите сохранить изменения?
TID_POPUP_EDIT_MODE_SAVE_TITLE,Save Changes,Enregistrer les modifications,Änderungen speichern,Guardar cambios,Salva modifiche,Wijzigingen opslaan,Lagre endringer,Salvar alterações,Değişiklikleri Kaydet,変更を保存,保存更改,변경 사항 저장,Сохранить изменения
TID_POPUP_FORGE_TITLE,Create Spells <limit>,Créer sorts <limit>,Erzeuge Zaubersprüche <limit>,Crear hechizos <limit>,Crea incantesimi <limit>,Creëer spreuken <limit>,Lag magi <limit>,Criar feitiços <limit>,Büyü Üret <limit>,呪文の準備 <limit>,配制法术<limit>,마법 제작 <limit>,Создать Заклинания <limit>
TID_POPUP_FRIEND_LIST_TITLE,Friends,Amis,Freunde,Amigos,Amici,Vrienden,Venner,Amigos,Arkadaşlar,フレンド,好友,친구,Друзья
TID_POPUP_HEADER_ABOUT_TO_BOOST,Boost production!,Accélérez la production !,Produktionsschub!,¡Acelera la producción!,Incremento produzione!,Boost productie!,Øk produksjonen!,Acelere a produção!,Arttırma üretimi!,生産量を一時的に上昇させます,加快速度！,생산 가속!,Ускорить производство
TID_POPUP_HEADER_ABOUT_TO_BOOST_HERO,Boost healing rate!,Accélération du taux de guérison,Heilungsgeschwindigkeit erhöhen!,¡Acelera la velocidad de curación!,Incrementa il tasso di guarigione!,Geef de genezingskracht een boost!,Øk helbredelsesraten!,Acelere a velocidade de cura!,İyileştirme oranını arttır!,回復速度アップ！,加快恢复速度！,회복 속도를 올리세요!,Ускорить скорость исцеления!
TID_POPUP_HEADER_ABOUT_TO_CANCEL_SPELL,Are you sure?,Êtes-vous sûr ?,Bist du sicher?,¿Estás seguro?,Sei sicuro?,Weet je het zeker?,Er du sikker?,Tem certeza?,Emin misiniz?,キャンセルしますか？,确定？,정말 취소할까요?,Уверены?
TID_POPUP_HEADER_ABOUT_TO_SPEED_UP,Finish now!,Terminer maintenant !,Jetzt beenden!,¡Terminar ya!,Completa subito!,Nu voltooien!,Bli ferdig nå!,Concluir agora!,Şimdi bitir!,今すぐ終える,现在完成！,즉시 완료!,Заверши Сейчас!
TID_POPUP_HEADER_WARNING,Warning!,Attention !,Achtung!,¡Cuidado!,Attenzione!,Waarschuwing!,Advarsel!,Atenção!,Uyarı!,警告！,警告！,경고!,Внимание!
TID_POPUP_NOT_ENOUGH_DIAMONDS,Do you want to get more?,Voulez-vous en obtenir plus ?,Möchtest du mehr haben?,¿Quieres conseguir más?,Ne vuoi ancora?,Wil je meer aankopen?,Vil du skaffe fler?,Você quer receber mais?,Daha fazla almak istiyor musun?,エメラルドを買い足しますか？,您想获取更多宝石吗？,더 구매할까요?,Хотите получить еще?
TID_POPUP_NOT_ENOUGH_DIAMONDS_BUTTON,Enter Shop,Visiter le magasin,Shop betreten,Ir a la tienda,Accedi al negozio,Naar winkel,Gå til butikk,Entrar na Loja,Dükkana Gir,ショップを開く,进入商店,상점으로 이동,В Магазин
TID_POPUP_NOT_ENOUGH_DIAMONDS_TITLE,Not enough Gems,Pas assez de gemmes,Nicht genug Juwelen,"No tienes suficientes gemas,",Non hai abbastanza gemme,Te weinig edelstenen,Ikke nok juveler,Sem Gemas suficientes,Yeterli Taş yok,エメラルドが足りません,宝石不够,보석 부족,Нужно больше кристаллов
