TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_TOWN_HALL_LEVEL_TOO_LOW,You need to upgrade your Town Hall to level <number>!,Vous devez améliorer votre hôtel de ville au niveau <number> !,Du musst dein Rathaus auf Level <number> verbessern!,¡Debes mejorar tu ayuntamiento al nivel <number>!,Devi migliorare il tuo Municipio al livello <number>!,Je moet je stadhuis naar level <number> upgraden!,Du må oppgradere rådhuset til nivå <number>!,Você precisa atualizar seu Centro da Vila ao nível <number>!,Köy Binasını <number>. seviyeye yükseltmen gerekiyor!,タウンホールをレベル<number>にアップグレードする必要があります。
TID_TRAINING_INFO,HINT: Tap and hold down unit icon to train multiple troops.,Astuce : Touchez et maintenez enfoncée l'icône des unités pour former plusieurs troupes.,"TIPP: Tippe und halte das Einheitensymbol gedrückt, um mehrere Truppen zu trainieren.",CONSEJO: toca y mantén el icono de unidades para entrenar varias tropas.,SUGGERIMENTO: Tocca e tieni premuta l´icona dell´unità per addestrare più truppe.,HINT: tik en houd het eenheidicoontje ingedrukt om meerdere troepen te trainen.,HINT: Trykk og hold enhetsikonet for å trene flere soldater.,DICA: Toque e segure no ícone da unidade para treinar várias tropas.,İPUCU: Birden fazla asker eğitmek için birim simgesine dokun ve basılı tut.,ヒント：ユニットアイコンをタップして下にドラッグし、複数の軍隊のトレーニングをしましょう。
TID_TRAINING_SLOTS,Training slots:,Emplacements de formation :,Trainingsplätze:,Huecos entrenamiento:,Spazi addestramento:,Trainingvakken:,Treningstider:,Vagas de treinamento:,Eğitim yerleri:,トレーニングスロット：
TID_TRAINING_SLOT_STOPPED,Stopped!,Arrêté !,Gestoppt!,¡Detenido!,Interrotto!,Gestopt!,Stoppet!,Parado!,Durduruldu!,中止しました！
TID_TRAINING_WARRIORS,Warriors:,Soldats :,Krieger:,Guerreros:,Guerrieri>,Krijgers:,Krigere:,Guerreiros:,Savaşçılar:,兵士：
TID_TRAIN_ALL_HOUSINGS_FULL,All Camps Full!,Les camps sont pleins !,Alle Lager voll!,¡Campamentos llenos!,Tutti gli accampamenti sono pieni.,Alle kampen vol!,Alle leire er fulle!,Campos do Exército estão cheios!,Tüm Kamplar Dolu!,キャンプはすべていっぱいです！
TID_TRAIN_ALL_HOUSINGS_FULL_INFO,"Upgrade or build Army Camps to house more troops, or send them to fight!","Construisez plus de camps militaires ou améliorez ceux que vous possédez déjà pour loger plus de troupes, ou envoyez-les au combat !","Verbessere Armeelager oder baue neue, um mehr Truppen zu beherbergen oder schicke sie in den Kampf!",¡Mejora o construye campamentos para acoger más tropas o enviarlas a luchar!,Migliora o costruisci degli accampamenti per alloggiare più truppe o mandale in guerra!,"Upgrade of bouw legerkampen om meer troepen onder te brengen, of zet ze in voor het gevecht!",Oppgrader eller bygg arméleire for å huse flere soldater eller send dem ut for å kjempe!,Atualize ou construa campos do exército para abrigar mais tropas!,Daha fazla asker barındırmak için Ordu Kamp inşa et ve yükselt veya askerleri savaşa gönder!,より多くの軍隊を駐屯させるためにアーミーキャンプをアップグレードするか増やすか、軍隊を戦場に送りこみましょう。
TID_TRAIN_COST,Training Cost: <number> <resource>,Coût de la formation : <number> <resource>,Trainingskosten: <number> <resource>,Coste entrenamiento: <number> <resource>,Costo addestramento: <number> <resource>,Trainingskosten: <number> <resource>,Treningsutgift: <number> <resource>,Custo de Treinamento: <number> <resource>,Eğitim Maliyeti: <number> <resource>,トレイニングコスト：<number><resource>
TID_TRAIN_SPELL_STORAGE_FULL,Spell Factory full!,Usine de sorts pleine !,Zauberspruchfabrik voll!,¡La fábrica de hechizos está llena!,Fabbrica degli incantesimi piena!,Volle Spreukenfabriek!,Magifabrikken er full!,Fábrica de Feitiços está cheia!,Büyü Fabrikası dolu!,呪文ファクトリーがいっぱいです！
TID_TRAIN_SPELL_STORAGE_FULL_INFO,Upgrade the Spell Factory for more capacity,Améliorez l'usine de sorts pour + de capacité,"Zauberspruchfabrik aufrüsten, um mehr Kapazität zu erhalten",Mejora la Fábrica de hechizos para más capacidad.,Aggiorna la Fabbrica degli Incantesimi per una maggiore capacità,Verbeter de spreukenfabriek voor meer capaciteit,Oppgrader magifrabrikken for mer kapasitet,Atualize Fábrica de Feitiços e ganhe capacidade,Fazla kapasite için Büyü Fabrikasını üst seviyeye çıkar,呪文ファクトリーをアップグレードして、キャパシティを増やしましょう。
TID_TRAIN_TUTORIAL_ARROW,Hold down,Rester appuyé,Gedrückt halten,Mantener,Tieni premuto,Ingedrukt houden:,Hold ned,Manter pressionado,Basılı tut,下にドラッグします
TID_TRAP_AIR,Air Bomb,,,,,,,,,
TID_TRAP_AIR_INFO,Latest invention in the field of flying pest control. This trap can blast multiple air units in a small area.,,,,,,,,,
TID_TRAP_AIR_MEGA,Seeking Air Mine,,,,,,,,,
TID_TRAP_AIR_MEGA_INFO,Is it a bird? Is it a plane? Well it makes no difference as the Seeking Air Mine will blow it sky high. This trap does devastating damage to a single air unit.,,,,,,,,,
TID_TRAP_BOMB,Bomb Trap,Piège à bombe,Bombenfalle,Trampa bomba,Trappola bomba,Bomval,Bombefelle,Armadilha de Bomba,Bombalı Tuzak,爆弾のトラップ
TID_TRAP_EJECT,Spring Trap,Piège à ressort,Tellereisen,Trampa de salto,Trappola a scatto,Veerval,Dyrefelle,Armadilha de Mola,Yaylı Tuzak,ばねのトラップ
TID_TRAP_EJECTOR,Spring Trap,Piège à ressort,Tellereisen,Trampa de salto,Trappola a scatto,Veerval,Katapult-felle,Armadilha de Mola,Yaylı Tuzak,ばねのトラップ
TID_TRAP_EJECTOR_INFO,This bouncy little number will toss unwanted visitors right off your property!,Ce petit numéro bondissant renverra les visiteurs indésirables de votre propriété !,Diese kleine Falle wirft unerwünschte Besucher sofort von deinem Besitz!,¡Esta pequeñina saltarina mantendrá a las visitas no deseadas fuera de tu propiedad!,Questo coso rimbalzoso lancerà i visitatori sgraditi fuori dalla tua proprietà!,Deze kleine stuiter gooit alle ongewenste bezoekers van je grondgebied!,Denne spretne lille saken kaster uønskede besøkende rett ut av eiendommen din!,Este mola vai atirar visitantes indesejados diretamente para fora de sua propriedade!,Bu küçük sıçrayan sayı davetsiz misafirleri köyünden anında sepetler!,この弾んでいる小さな数字によって、直接嫌な訪問者に所持品が渡ってしまいます。
TID_TRAP_HALLOWEENBOMB,Unpleasant Present,Un désagréable cadeau,Unerfreuliches Geschenk,Regalo desagradable,Regalo Sgradito,Onaangeaam cadeau,Ubehagelig presang,Presente Desagradável,Nahoş Hediye,迷惑なプレゼント
TID_TRAP_HALLOWEENBOMB_INFO,"Give the gift of explosion! This holiday season, why not show the attacker just how much you care for their intrusion with this beautiful gift-wrapped bomb trap.","Offrez-lui de la dynamite ! En cette période de fêtes, pourquoi ne pas montrer à votre agresseur tout le bien que vous pensez de son intrusion avec ce magnifique piège explosif soigneusement emballé.","Verschenke eine Explosion! Wieso zeigst du Angreifern während der diesjährigen Festtage nicht mit dieser schönen als Geschenk verpackten Bombenfalle, was du von ihrem Eindringen hältst?","¡Regala el don de estallar! Estas fiestas, ¿por qué no muestras al atacante lo que opinas de su invasión con esta preciosa trampa bomba bien envuelta?","Regala un'esplosione! Durante le festività, perché non accogliere i cari invasori con questa meravigliosa bomba avvolta in una deliziosa carta regalo?",Geef een explosie cadeau! Laat gedurende de feestdagen zien hoeveel je om je vijanden geeft met deze prachtige bom in cadeaupapier.,"Gi bort eksplosjonsgaven! Denne høytiden kan du vise angriperne hvor stor pris du setter på innblandingen deres, med denne bombefellen i gaveinnpakning.","Dê um presente explosivo! Nesta temporada de festas, por que não mostrar o quanto você se importa com a presença do seu oponente dando-lhe esta linda bomba embrulhada como presente.","Bomba hediyesi ver! Tatil mevsimi, saldırgana hediye gibi paketlenmiş bu güzel bomba tuzağıyla yaptıkları baskını ne kadar umursadığını göstersene!",爆弾の贈り物をしましょう！爆弾のトラップを綺麗に包装した贈り物を送って敵を欺けるのはこの時期だけの特典です。
TID_TRAP_MINE,Bomb,Bombe,Bombe,Bomba,Bomba,Bom,Bombe,Bomba,Bomba,爆弾
TID_TRAP_MINE_INFO,Nothing says 'STAY OUT' quite like a good old-fashioned hidden bomb.,Il n'y a rien de mieux qu'une bonne vieille bombe cachée pour éloigner ses adversaires.,"Nichts sagt ,,DRAUSSEN BLEIBEN\q so deutlich wie eine gute, altmodische, versteckte Bombe.",Nada dice mejor \qFUERA DE AQUÍ\q que una buena bomba oculta.,Niente dice \qSTATE ALLA LARGA\q come una bomba nascosta.,Er gaat niets boven 'OPROTTEN' dan een goed verborgen bom.,"Ingen sier «PELL DEG VEKK» akkurat som en god, gammeldags skjult bombe.",Nada diz \qFIQUE FORA ' tão bem quanto uma velha bomba escondida.,Hiçbir şey eski güzel bir gizli bomba kadar iyi 'YAKLAŞMA' diyemez.,昔の隠された爆弾のように「立ち入り禁止」とは書かれていません。
TID_TRAP_SUPERBOMB,Giant Bomb,Bombe géante,Riesenbombe,Bomba gigante,Bomba gigante,Reuzenbom,Gigantbombe,Bomba gigante,Dev Bomba,ジャイアントの爆弾
TID_TRAP_SUPERBOMB_INFO,"When you're looking for a Big Boom, you need the Giant Bomb.",Utilisez la Bombe géante pour provoquer une énorme explosion.,"Wenn du einen großen Knall willst, dann brauchst du eine Riesenbombe.","Si buscas una gran explosión, necesitarás la Bomba gigante","Se hai bisogno di un'esplosione potente, ti serve una Bomba gigante.",Zoek je een grote knaller? Gebruik dan de reuzenbom.,"Er du ute etter et skikkelig smell, trenger du gigantbomben.","Quando você está procurando uma grande explosão, é necessária a Bomba Gigante.","Büyük Bomba arıyorsan, Büyük Bomba'ya ihtiyacın var demektir.",大きな衝撃音を探しているときは、ジャイアントの爆弾が必要です。
TID_TRAP_TIMETRAP,Time Trap,Time Trap,Zeitfalle,Trampa de tiempo,Trappola a tempo,Tijdval,Tidsfelle,Armadilha de Tempo,Zaman Tuzağı,時間のトラップ
TID_TROOPS_USED,Troops expended:,Troupes déployées :,Aufgewandte Truppen:,Tropas gastadas:,Truppe utilizzate:,Troepen uitgebreid,Soldater tapt:,Tropas usadas:,Asker zayiatı:,軍隊拡張：
TID_TROOP_ALREADY_AT_MAX_LEVEL,Unit is already at maximum level!,Cette unité est déjà au niveau maximum !,Einheit ist bereits auf maximalem Level!,¡La unidad ya está en nivel máximo!,Il livello dell´unità è già al massimo!,Eenheid heeft het maximumlevel al!,Enheten er allerede på maksimumsnivå!,Unidade já está no nível máximo!,Birim zaten maksimum seviyede!,ユニットはすでに最大レベルに到達しました！
TID_TROOP_REQUEST_FAIL_CASTLE_FULL,Clan Castle is already full!,Le château du clan est déjà plein !,Clanburg ist bereits voll!,¡El castillo del clan está lleno!,Il castello del clan è pieno!,Clankasteel is al vol!,Klanslottet er allerede fullt!,Castelo do Clã já está cheio!,Klan Kalesi zaten dolu!,クラン砦はすでにいっぱいです！
TID_TROOP_REQUEST_FAIL_COOLDOWN,You need to wait before requesting more reinforcements.,Vous devez attendre avant de demander plus de renfort.,"Du musst warten, bevor du mehr Verstärkung anfordern kannst.",Tendrás que esperar antes de pedir más refuerzos.,Devi aspettare prima di richiedere altri rinforzi!,Je moet even wachten voordat je om meer versterkingen kunt vragen.,Du må vente før du kan be om forsterkninger.,Você precisa aguardar antes de pedir mais reforços.,Başka takviye istemeden önce beklemen gerekiyor.,補強のリクエストをするまでお待ちください。
TID_TROOP_REQUEST_SENT,Troop request was sent!,La demande de troupes a bien été envoyée !,Truppenanforderung wurde geschickt!,¡Petición de tropas enviada!,Richiesta di truppe inviata!,Verzoek om troepen is verstuurd!,Forespørsel om soldater sendt!,Pedido de tropas enviado com sucesso!,Asker isteği gönderildi!,援軍要請しました！
TID_TROOP_SPEED_UP_SUCCESS,Troop training finished!,Formation des troupes terminée !,Truppentraining beendet!,¡Entrenamiento terminado!,Addestramento truppe completato!,Troeptraining voltooid!,Soldattrening ferdig!,O treinamento de tropas terminou!,Asker eğitimi bitti!,軍隊のトレーニングが終了しました！
TID_TROOP_TRAINING_MAX,Max,Maximum,Max.,Máx.,Massimo,Max,Maks,Máximo,Maks,最大
TID_TROOP_UPGRADE_ALREADY_ONGOING,Unit is already being upgraded!,Cette unité a déjà été améliorée !,Einheit wird bereits verbessert!,¡La unidad ya está siendo mejorada!,L´unità è in corso di miglioramento!,Eenheid wordt al geüpgraded!,Enheten blir allerede oppgradert!,Unidade já está sendo atualizada!,Birim zaten yükseltiliyor!,ユニットはすでにアップグレードされました！
TID_TROOP_UPGRADE_COMPLETED,Upgrade completed: <item> Level <number>,Amélioration terminée : <item> niveau <number>,Verbesserung abgeschlossen: <item> Level <number>,"Mejora completada: <item>, nivel <number>",Miglioramento completato: Livello <item> <number>,Upgrade voltooid: <item> level <number>,Oppgradering fullført: <item> nivå <number>,Atualização completa: <item> Nível <number>,Yükseltme tamamlandı: <item> <number>. Seviye,アップグレード完了：<item>レベル<number>
TID_TROOP_UPGRADE_TIME,Total time:,Temps total :,Gesamtzeit:,Tiempo total:,Tempo totale:,Totale tijd:,Total tid:,Tempo total:,Toplam süre:,トータル時間：
TID_TUTORIAL_ACHIEVEMENTS,"If you're looking for new challenges to beat, just ask me by tapping here.","Si vous cherchez à relever de nouveaux défis, touchez ici pour me demander.","Falls du nach neuen Herausforderungen suchst, frag mich einfach, indem du hierhin tippst.","Si buscas nuevos desafíos para batir, pulsa aquí.","Se cerchi nuove sfide, tocca qui e ti accontenterò.",Zoek je een nieuwe uitdaging? Vraag het mij door hier te tikken.,"Hvis du leter etter nye utfordringer å overvinne, bare spør meg ved å trykke her.","Se você está procurando novos desafios para vencer, basta me pedir tocando aqui.","Eğer kapışmak için yeni müsabakalar arıyorsan, buraya dokunarak bana sor.",新たなチャレンジを探しているなら、タップして私に尋ねてください
TID_TUTORIAL_ACHIEVEMENTS2,"Chief, you obviously know what you're doing. The whole village is counting on you!",Chef ! On dirait que vous savez ce que vous faites. Tout le village compte sur vous !,"Boss, du weißt offenbar, was du tust. Das ganze Dorf zählt auf dich!","¡Jefe, obviamente sabes lo que haces. La aldea entera cuenta contigo!","Capo, ovviamente sai quello che stai facendo. Tutto il villaggio conta su di te!","Chief, je weet wat je te doen staat. Het hele dorp rekent op je!","Høvding, du vet opplagt hva du gjør. Hele landsbyen stoler på deg!","Chefe, você obviamente sabe o que está fazendo. A vila inteira está contando com você!","Şef, kesinlikle ne yaptığını biliyorsun. Tüm köy sana güveniyor!",何をするかあなたはわかっているはずです。この村全体はあなたを頼りにしています！
TID_TUTORIAL_ATTACK_NPC_1,The Wizards from Ivory Tower are here to help us! Let's take out the goblin camp!,Les sorciers de la tour d'ivoire sont là pour nous aider ! Détruisons le camp gobelin !,"Die Magier vom Elfenbeinturm sind hier, um uns zu helfen! Nehmen wir das Koboldlager auseinander!",¡Los magos de la torre de marfil han venido a ayudarnos! ¡Eliminemos el campamento de los duendes!,Gli Stregoni della Torre d´avorio sono venuti in nostro aiuto! Distruggiamo l´accampamento dei Goblin!,De tovenaars van de ivoren toren zijn hier om ons te helpen! Schakel het gobelinkamp uit!,Sjamanen fra elfenbenstårnet er her for å hjelpe oss! La oss utslette nisseleiren!,Os Magos da Torre de Marfim estão aqui para nos ajudar! Vamos acabar com o acampamento goblin!,"Fildişi Kuledeki Sihirbazlar bize yardıma geldiler! Haydi, goblin kampını yok edelim!",アイボリータワーのウィザードたちが助けに来ています！ゴブリンキャンプを落としましょう！
TID_TUTORIAL_ATTACK_NPC_2,Well done. Now let's kick some green butt!,Bien joué. Allons botter leurs fesses vertes !,Gut gemacht. Jetzt lass uns ein paar grüne Hintern versohlen!,Bien hecho. ¡Pateemos sus verdes traseros!,Ben fatto. Andiamo a prendere a calci qualche sedere verde!,Goed gedaan. Tijd voor een stevig potje groen geweld!,Godt gjort. Kom igjen og gi grønningene stryk!,Bem feito. Agora vamos detonar uns verdinhos!,İyi iş. Haydi şimdi yeşil popolara tekmeyi basalım!,よくできました！緑色の切れ端を蹴飛ばしましょう！
TID_TUTORIAL_ATTACK_NPC_BUTTON,Attack!,Attaquer !,Angriff!,¡Atacar!,Attacco!,Aanvallen!,Angrip!,Ataque!,Saldır!,攻撃！
TID_TUTORIAL_BARRACK_1,"Chief, we need an army to fight those goblins! Let's build a Barracks.","Chef, nous avons besoin d'une armée pour combattre ces gobelins ! Construisons une caserne.","Häuptling, wir brauchen eine Armee, um mit diesen Kobolden fertigzuwerden! Bauen wir eine Kaserne.",¡Necesitamos un ejército para luchar contra los duendes! Construyamos un cuartel.,"Capo, ci serve un esercito per combattere i Goblin! Costruiamo una Caserma.","Chief, we hebben een leger nodig om tegen die gobelins te vechten! Bouw een kazerne.","Høvding, vi trenger en armé til å bekjempe de nissene! La oss bygge brakker.","Chefe, precisamos de um exército para lutar contra os goblins! Vamos construir um Quartel.","Şef, bu goblinlerle savaşmak için bir ordu lazım! Haydi bir Kışla inşa edelim.",ゴブリンたちと戦うための兵士が必要です！バラックを建てましょう。
TID_TUTORIAL_CANNON_1,Welcome Chief! We sure have been waiting for you.,"Bienvenue, chef ! Nous vous avons longuement attendu.","Willkommen, Häuptling! Wir haben schon auf dich gewartet.","¡Bienvenido, jefe! Ansiábamos tu regreso.","Ti diamo il benvenuto, Capo! Ti stavamo aspettando con ansia.","Welkom, chief! We keken al uit naar je komst.","Vær hilset, høvding! Vi har virkelig ventet på deg.",Bem-vindo Chefe! Estávamos esperando por você.,Hoş geldin Şef! Seni dört gözle bekliyorduk.,ようこそ！お待ちしておりました。
TID_TUTORIAL_CANNON_2,"This is your new village, isn't it lovely! Life here would be perfect if it wasn't for....",Voici votre nouveau village. N'est-il pas magnifique ? La vie serait parfaite ici-bas si...,"Dies ist dein neues Dorf. Wunderschön, nicht wahr? Das Leben wäre wahrhaftig perfekt, wenn es da nicht ...","Esta es tu nueva aldea, ¿a que es preciosa? Aquí la vida sería perfecta de no ser por...","Questo è il tuo nuovo villaggio, bello vero? La vita qui sarebbe perfetta se non fosse...","Dit is je nieuwe dorp, prachtig toch? Het leven zou hier perfect zijn als we geen....","Dette er den nye landsbyen din, er den ikke søt! Livet her hadde vært perfekt hvis det ikke var for ...","Esta é a sua nova vila, não é linda?! A vida aqui seria perfeito se não fosse ....","Bu yeni köyün, çok sevimli değil mi! Burada hayat harika olurdu ancak...",ここはあなたの新しい村です。なんて素敵な村なのでしょう。この村での生活は完ぺきなものでした。あの日がくるまでは・・・
TID_TUTORIAL_CANNON_3,"Oh no, it's the Goblin Horde! Quick, let's set up a Cannon to defend the village!","Oh non ! Voici la horde de gobelins ! Vite, installons un canon pour défendre le village !","Oh nein, die Koboldhorde! Schnell, stell eine Kanone auf, um das Dorf zu verteidigen!","¡Oh, no! ¡La horda de duendes! ¡Rápido, pongamos un cañón para defender la aldea!","Oh no, l´orda di Goblin! Presto, piazziamo un cannone per difendere il villaggio!","O nee, het zijn de gobelins! Snel, zet een kanon neer om het dorp te verdedigen!",Å nei! det er nissehorden! Vær snar! La oss sette opp en kanon for å forsvare landsbyen!,"Oh não, é a Horda Goblin! Rápido, vamos armar um canhão para defender a aldeia!","Olamaz, Goblin Sürüsü! Çabuk, köyü savunmak için bir Top hazırlayalım!",ゴブリンの大軍です！急いでキャノンを設置して村を防御してください！
TID_TUTORIAL_CANNON_4,Place the Cannon in the center of the village. We must protect the Town Hall!,Placez le canon au centre du village. Nous devons protéger l'hôtel de ville !,Platziere die Kanone im Dorfzentrum. Wir müssen das Rathaus schützen!,Pon el cañón en el centro de la aldea. ¡Debemos proteger el ayuntamiento!,Metti il cannone al centro del villaggio. Dobbiamo proteggere il municipio!,Zet het kanon in het centrum van het dorp neer. We moeten het stadhuis beschermen!,Plasser kanonen i midten av landsbyen. Vi må beskytte rådhuset!,Coloque o canhão no centro do terreno. Temos que proteger o Centro da Vila!,Topu köyün ortasına yerleştir. Köy Binasını korumalıyız!,村の真ん中にキャノンを設置しましょう。タウンホールを守らなければなりません。
TID_TUTORIAL_CANNON_5,Now's not the time to be stingy. Spend some green gems to speed things up!,Ce n'est pas le moment d'être radin : dépensez quelques gemmes pour accélérer le processus !,"Jetzt ist nicht die Zeit, geizig zu sein. Gib ein paar grüne Juwelen aus, um die Sache zu beschleunigen!",No es el momento de ser tacaño. ¡Gasta gemas verdes para ir más rápido!,Non è il momento di essere taccagni. Spendi delle gemme verdi per velocizzare il processo!,We hebben nu niets aan zuinigheid. Geef groene edelstenen uit om de boel te versnellen!,Nå passer det ikke å være gjerrig. Bruk noen grønne smykker for å få opp hastigheten!,Agora não é a hora de ser mesquinho. Use algumas gemas para acelerar as coisas!,Cimlik etmenin zamanı değil. İşleri hızlandırmak için biraz yeşil taş harca!,時間がありません。グリーンジェムを使ってスピードアップしましょう。
TID_TUTORIAL_CHANGE_NAME,That was a great battle! How shall you be known in our history?,Quelle bataille ! Sous quel nom souhaitez-vous entrer dans l'histoire ?,Das war ein toller Kampf! Wie sollst du in unserer Geschichte erinnert werden?,¡Ha sido una gran batalla! ¿Como deberiamos conocerte en nuestra historia?,È stata una battaglia grandiosa! Come sarai ricordato nella nostra storia?,Dat was een geweldig gevecht! Hoe wil je genoemd worden?,Det var et mektig slag! Hvordan skal vi beskrive deg i historien vår?,Essa foi uma grande batalha! Como você deve ser conhecido em nossa história?,Şahane bir savaştı bu! Tarihimizde nasıl bilineceksin?,すばらしいバトルでした！どうやって歴史に名を刻みましょうか。
TID_TUTORIAL_DEFEND_1,"Gwar, there they are! Goblin Horde ATTAAACK!!","Arrrgh ! Les voilà ! Horde de gobelins, À L'ATTAAAQUE !!!","Grarr, da sind sie! Koboldhorde zum AAAANGRIFF!!","¡Vaya, ya está aquí! Horda de duendes... ¡ATACAD!","Arrrrr, eccoli! Orda di Goblin ATTAAAACCOOO!!","Gwar, daar zijn ze al! Gobelins in de AAAAAAAANVAL!!","Grrr, der er de! Nissehorden ANGRIIIPER!","Gwar, lá estão eles! Horda Goblin ATACARRRR!","Harr, işte buradalar! Goblin Sürüsü, SALDIIIR!!",大変！ゴブリンの大軍が攻撃してきました！！！
TID_TUTORIAL_DEFEND_1b,"Gwahaah, what is this? Another puny human!",Aaah ! Mais qu'est-ce que c'est que ça ? Encore une de ces vermines d'humain !,"Grarrrr, was ist das? Noch ein mickriges Menschlein!","Aaaaah, ¿qué es esto? ¡Otro humano patético!","Gwahaah, cos'è questo? Un altro umano mingherlino!","Tsss, wat is dit? Alweer zo'n miezerige mens!","Grrr hæ, hva er dette for noe? Enda et puslete menneske!","Gwahaah, o que é isso? Outro ser humano insignificante!","Haharr, bu da ne? Bir sefil insan daha!",これは一体何でしょう？他にも弱々しい人がここにいました！！
TID_TUTORIAL_DEFEND_2,"Phew, that was a close call. Thanks Chief!","Fiou ! C'était moins une. Merci, chef !","Puh, das war knapp. Danke, Häuptling!","Vaya, ha faltado poco. ¡Gracias, jefe!","Fiuu, c´è mancato poco. Grazie, Capo!","Poeh, dat scheelde niet veel. Bedankt, chief!","Puh, det var nære på. Takk, høvding!","Ufa, foi por um triz. Obrigado, Chefe!","Uf, bunu ucuz atlattık. Teşekkürler Şef!",危機一髪でした。ありがとうございます。
TID_TUTORIAL_DEFEND_4,We built the village on a Ley Line. That means the Cannon will magically repair itself over time.,"Nous avons construit le village sur des lignes telluriques, ce qui signifie que le canon se réparera comme par magie au fil du temps !","Wir haben das Dorf auf einer Kraftlinie errichtet. Das bedeutet, dass sich die Kanone mit der Zeit selbst magisch repariert.","Hemos construido la aldea sobre una Línea Ley. Es decir, el cañón se reparará mágicamente con el tiempo.",Abbiamo costruito il villaggio su una Ley Line. Il che significa che il cannone si riparerà da solo con il passare del tempo.,We hebben het dorp op een leylijn gebouwd. Dat betekent dat het kanon zich na verloop van tijd op magische wijze herstelt.,Vi har bygd landsbyen på en leylinje. Det betyr at kanonen reparerer seg selv på magisk vis etter hvert.,Nós construímos a vila sobre Lençóis de Elixir. Isso significa que o canhão irá magicamente reparar-se ao longo do tempo.,Köyü bir Ley Hattının üzerine inşa ettik. Bu sayede Top zamanla kendi kendine onarılacak.,レイラインの上に村を作りました。このため、キャノンは時間の経過とともに自力で修復されます。
TID_TUTORIAL_DEFEND_5,"Gwarh, GOLD! We goblins love gold!","Ouah ! De l'OR ! Nous, les gobelins, adorons l'or !","Grarr, GOLD! Wir Kobolde lieben Gold!","¡Vaya, ORO! ¡Los duendes amamos el oro!","Gwarh, ORO! Noi Goblin adoriamo l´oro!","Gwarh, GOUD! Wij gobelins zijn dol op goud!",Grrr - GULL! Vi nisser elsker gull!,"Gwarh, OURO! Nós goblins amamos ouro!","Harr, ALTIN! Biz goblinler altını çok severiz!",ゴールドだ！我々ゴブリンはゴールドが大好きなのだ！
TID_TUTORIAL_DEFEND_BUTTON,Bring it on!,C'est parti !,Her damit!,¡Vamos allá!,Avanti!,Kom maar op!,Sett i gang,Cai dentro!,Gelsin!,かかってこい！
TID_TUTORIAL_ELIXIRSTORAGE,That elixir needs a place to store it as well.,Cet élixir a aussi besoin d'être stocké quelque part.,Und das Elixier braucht auch ein Lager.,También necesitas un lugar para almacenar el elixir.,Anche l'elisir deve essere conservato da qualche parte.,Die elixir moet ook ergens op worden geslagen.,Denne eliksiren må også lagres et sted.,Esse elixir precisa de um lugar para ser armazenado também.,İksirin de bir yerde depolanması gerekiyor.,エリクサーも保管しておく場所が必要です。
TID_TUTORIAL_ELIXIR_1,Elixir is essential for training troops and building many structures.,L'élixir est essentiel pour former les troupes et construire des bâtiments.,"Elixier ist notwendig, um Truppen zu trainieren und viele Gebäude zu errichten.",El elixir es esencial para adiestrar tropas y construir muchas estructuras.,L´elisir è fondamentale per addestrare le truppe e costruire molte strutture.,Elixir heb je nodig voor het trainen van troepen en het bouwen van gebouwen.,Eliksir er avgjørende for å trene soldater og bygge mange strukturer.,O Elixir é essencial para a formação de tropas e construção de várias estruturas.,İksir askerleri eğitmek ve birçok binayı inşa etmek için gereklidir.,エリクサーは、軍隊のトレーニングや、建物の建築に必要です。
TID_TUTORIAL_ELIXIR_2,You can pump Elixir from the underground Ley Line. Let's try it!,Vous pouvez pomper l´élixir depuis les lignes telluriques. Essayez pour voir !,Du kannst Elixier aus der Kraftlinie im Untergrund pumpen. Versuch es mal!,Puedes extraer elixir de las Líneas Ley que pasan por debajo de la aldea.¡Inténtalo!,Puoi pompare Elisir dalla Ley Line sotterranea. Proviamo!,Je kunt elixir oppompen via de ondergrondse leylijn. Probeer het maar!,Du kan pumpe eliksir fra den underjordiske leylinjen. La oss prøve det!,Você pode bombear Elixir do subsolo. Vamos tentar!,Yeraltındaki Ley Hattından İksir pompalayabilirsin. Haydi dene!,地下のレイラインからエリクサーを汲み取れます。やってみましょう！
TID_TUTORIAL_ELIXIR_STORAGE_1,The collector can only store a small amount of Elixir.,L'extracteur ne peut contenir qu'une petite quantité d'élixir.,Der Sammler kann nur eine kleine Menge Elixier lagern.,El recolector solo puede almacenar una pequeña cantidad de elixir.,L'estrattore può contenere solo una piccola quantità di elisir.,De pomp kan maar een kleine hoeveelheid elixir opslaan.,Samleren kan bare lagre en liten mengde eliksir.,O coletor só pode armazenar uma pequena quantidade de Elixir.,Toplayıcı yalnızca az bir miktar İksir depolayabilir.,コレクターは少量のエリクサーしか保管できません。
TID_TUTORIAL_ELIXIR_STORAGE_2,Let's build a Storage vat so we can stockpile the stuff!,Construisons un réservoir pour augmenter notre capacité de stockage !,"Bauen wir ein Lager, damit wir das Zeug horten können!",¡Construyamos un almacén para guardar las cosas!,Costruiamo un Deposito in modo da poterlo conservare.,Bouw een depot zodat we er zoveel mogelijk van op kunnen slaan!,La oss bygge en lagertank så vi kan oppbevare mer av stoffet!,Vamos construir um tanque de armazenamento para que possamos estocar o material!,Stoklamak için haydi bir Depo inşa edelim!,物を貯めておく貯蔵庫を建てましょう！
