TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_ALLIANCE_TROOP_RECEIVED,You have received level <level> <troop> from <avatar>!,Vous avez reçu <troop> de niveau <level> de la part de <avatar> !,Du hast Level <level> <troop> von <avatar> erhalten!,¡Has recibido <troop> <level> de <avatar>!,Hai ricevuto <troop> di livello <level> da <avatar>!,Je hebt <troop> met niveau <level> ontvangen van <avatar>!,Du har mottatt nivå <level> <troop> fra <avatar>!,Você recebeu <troop> nível <level> de <avatar>!,<avatar> tarafından size <level> seviye <troop> gönderildi!
TID_ALLIANCE_TYPE_CLOSED,Closed,Fermé,Geschlossen,Cerrado,Chiuso,Besloten,Lukket,Fechado,Kapalı
TID_ALLIANCE_TYPE_INVITE_ONLY,Invite only,Sur invitation,Nur auf Einladung,Solo con invitación,Solo su invito,Alleen op uitnodiging,Bare inviter,Somente convidados,Yalnızca davet
TID_ALLIANCE_TYPE_OPEN,Anyone can join,Ouvert,Jeder kann beitreten,Cualquiera puede unirse,Tutti possono unirsi,Iedereen kan toetreden,Alle kan delta,Qualquer pessoa pode aderir,Herkes katılabilir
TID_ALL_SPELLS_USED,No spells left,Plus aucun sort,Keine Zaubersprüche übrig,No quedan hechizos.,Nessun incantesimo rimasto,Geen spreuken over,Ingen trolldom igjen,Acabaram as magias,Büyü kalmadı
TID_ALL_TROOPS_USED,All forces deployed,Toutes les forces ont été déployées,Alle Truppen eingesetzt,Desplegadas todas las unidades.,Tutte le forze schierate,Alle eenheden zijn ingezet,Alle styrker utplassert,Todas as forças implantadas,Tüm kuvvetler konuşlandı
TID_ALREADY_BOOSTED,This building is already being boosted!,,,,,,,,
TID_AMMO_ALREADY_FULL,Turret is fully loaded!,La tourelle est chargée !,Turm vollständig geladen!,¡La torreta está totalmente cargada!,La torretta è completamente carica!,Volledig geladen!,Kanontårnet er fulladet!,A torre está carregada!,Taret tamamen dolduruldu!
TID_AMMO_FILL_CONFIRMATION,X-Bow is now loaded!,L'arc-X est chargé !,X-Bogen ist jetzt geladen!,¡La X-Ballesta ya está cargado!,L´Arco-X ora è carico!,De X-boog is nu geladen!,X-buen er nå ladet!,A Besta está carregada!,X-Topu şu anda yüklü!
TID_ARCHER,Archer,Archer,Bogenschütze,Arquero,Arciere,Boogschutters,Bueskytter,Arqueiro,Okçu
TID_ARCHER_TOWER_INFO,"Archer Towers have longer range than cannons, and unlike cannons they can attack flying enemies.","Les tours d'archers ont une portée plus importante que les canons, et elles peuvent également attaquer les ennemis volants.",Bogenschützentürme haben eine höhere Reichweite als Kanonen und im Gegensatz zu Kanonen können sie fliegende Feinde angreifen.,"Las torres de arqueros tienen más alcance que los cañones y, además, pueden atacar a enemigos voladores.","Le torri degli arcieri hanno una gittata maggiore dei cannoni e, diversamente dai cannoni, possono attaccare nemici volanti.",Schuttertorens hebben een groter bereik dan kanonnen en kunnen vliegende vijanden aanvallen.,"Bueskyttertårn har større rekkevidde enn kanoner, og kan i motsetning til kanoner angripe flygende fiender.","Torres de Arqueiros apresentam alcance maior que os canhões, e ao contrário destes, podem atacar inimigos voadores.",Okçu Kulelerinin menzili toplardan uzundur ve topların tersine uçan düşmanlara saldırabilirler.
TID_ATTACK_BUTTON,Attack,Attaquer,Angreifen,Atacar,Attacca,Aanvallen,Angrip,Atacar,Saldır
TID_ATTACK_COOLDOWN_AFTER_MAINTENANCE,Attacking other players is temporarily disabled!,L'attaque d'autres joueurs a été désactivée temporairement !,Das Angreifen anderer Spieler wurde zeitweise deaktiviert!,¡Se ha desactivado temporalmente el ataque a otros jugadores!,L´attacco è temporaneamente disabilitato!,Het aanvallen van andere spelers is tijdelijk uitgeschakeld!,Angrep mot andre spillere er midlertidig slått av!,Atacar outros jogadores foi desativado temporariamente!,Geçici olarak diğer oyunculara saldıramazsınız!
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK,Can't attack! Village is already under attack.,Attaque impossible ! Ce village est déjà en cours d'attaque !,Angriff nicht möglich! Dorf wird bereits angegriffen.,¡No se puede atacar! La aldea ya está siendo atacada.,Non è possibile attaccare! Il villaggio è già sotto attacco.,Je kunt niet aanvallen! Het dorp wordt al aangevallen.,Kan ikke angripe! Landsbyen er allerede under angrep.,Não pode atacar! Vila já está sob ataque.,Saldırılamaz! Köy zaten saldırıya uğradı.
TID_ATTACK_FAIL_GENERIC,Unable to find villages to attack!,,,,,,,,
TID_ATTACK_FAIL_LEVEL_DIFFERENCE,Can't attack! Level difference is more than <level>,Attaque impossible ! La différence de niveaux est de plus de <level>,Angriff nicht möglich! Levelunterschied höher als <level>,¡No se puede atacar! La diferencia de nivel es superior a <level>.,Non è possibile attaccare! Il livello di difesa è più alto di <level>,Je kunt niet aanvallen! Levelverschil is meer dan <level>,Kan ikke angripe! Nivåforskjellen er mer enn <level>,Não pode atacar! Diferença de nível é maior que <level>,Saldırılamaz! Seviye farkı <level> seviyeden fazla
TID_ATTACK_FAIL_NEWBIE_PROTECTED,Can't attack this village because its Town Hall is below level <number>.,Attaque impossible ! L'hôtel de ville de ce village est en-dessous du niveau <number>.,"Angriff auf dieses Dorf nicht möglich, da das Rathaus unter Level <number> liegt.",No se puede atacar porque su ayuntamiento tiene un nivel inferior a <number>.,Non è possibile attaccare questo villaggio perché il livello del Municipio è inferiore a <number>.,Je kunt dit dorp niet aanvallen omdat het level van het stadhuis lager is dan <number>.,Kan ikke angripe denne landsbyen fordi rådhuset dens er under nivå <number>.,Não é possível atacar essa aldeia porque seu Centro da Cidade está abaixo do nível <number>.,Köy Binası <number>. seviyenin altında olduğundan bu köye saldırılamaz.
TID_ATTACK_FAIL_NO_MATCHES,Unable to find villages to attack!,Impossible de trouver des villages à attaquer !,Es könnten keine angreifbaren Dörfer gefunden werden!,¡No se han encontrado aldeas que atacar!,Non è stato possibile trovare dei villaggi da attaccare!,Kan geen dorpen vinden om aan te vallen!,Finner ikke landsbyer å angripe!,Não foi possível encontrar aldeias para atacar!,Saldırılacak köy bulunamıyor!
TID_ATTACK_FAIL_SAME_ALLIANCE,Can't attack your own clan members!,Attaque impossible ! Vous ne pouvez attaquer votre propre clan !,Angriff auf deine eigenen Clanmitglieder nicht möglich!,¡No puedes atacar a miembros de tu clan!,Non puoi attaccare i membri del tuo stesso clan.,Je kunt geen leden van je eigen clan aanvallen!,Kan ikke angripe dine egne klanmedlemmer!,Não pode atacar seus próprios membros do clã!,Kendi klan üyelerine saldıramazsın!
TID_ATTACK_FAIL_SHIELD,Can't attack! Village has active shield,Attaque impossible ! Ce village possède un bouclier de protection,Angriff nicht möglich! Dorf verfügt über aktives Schild,¡No se puede atacar! La aldea tiene un escudo activo.,Non è possibile attaccare! Il villaggio ha uno scudo attivo,Je kunt niet aanvallen! Dorp heeft een actief schild.,Kan ikke angripe! Landsbyen har aktivt skjold,Não pode atacar! Vila tem escudo ativo,Saldırılamaz! Köyün etkin kalkanı var
TID_ATTACK_FAIL_TARGET_ONLINE,Can't attack! Village owner is online.,Attaque impossible ! Le propriétaire de ce village est en ligne.,Angriff nicht möglich! Dorfbesitzer ist online.,¡No se puede atacar! El dueño de la aldea está conectado.,Non è possibile attaccare! Il proprietario del villaggio è online.,Je kunt niet aanvallen! De eigenaar van het dorp is online.,Kan ikke angripe! Landsbyeieren er tilkoblet.,Não pode atacar! Proprietário da vila está online.,Saldırılamaz! Köyün sahibi çevrimiçi.
TID_ATTACK_LOCKED,Upgrade Town Hall to level 2 to unlock this feature!,Améliorer l'hôtel de ville au niveau 2 pour débloquer cette fonction !,"Verbessere das Rathaus auf Level 2, um diese Funktion freizuschalten!",¡Mejora el ayuntamiento al nivel 2 para desbloquearlo!,Porta il municipio al livello 2 per sbloccare questa caratteristica!,Upgrade het stadhuis naar level 2 om deze functie te ontgrendelen!,Oppgrader rådhuset til nivå 2 for å åpne denne funksjonen!,Atualize Centro da Cidade ao nível 2 para desbloquear esse recurso!,Bu özelliği açmak için Köy Binasını 2. seviyeye yükselt!
TID_AVAILABLE_LOOT,Available Loot:,Butin disponible :,Verfügbare Beute:,Botín disponible:,Bottino disponibile:,Beschikbare buit:,Tilgjengelig bytte:,Roubo disponível:,Mevcut Ganimet:
TID_BACK_BUTTON,Back,Retour,Zurück,Atrás,Indietro,Terug,Tilbake,Voltar,Geri
TID_BARBARIAN,Barbarian,Barbare,Barbar,Bárbaro,Barbaro,Barbaar,Barbar,Bárbaro,Barbar
TID_BARRACK_INFO,The Barracks allow you to train troops to attack your enemies. Upgrade the Barracks to unlock advanced units that can win epic battles.,La caserne vous permet de former des troupes pour attaquer vos ennemis. Améliorez la caserne pour débloquer de meilleures unités et gagner d'épiques batailles.,"In der Kaserne kannst du Truppen trainieren, die dann deine Feinde angreifen. Verbessere die Kaserne, um bessere Einheiten freizuschalten, mit denen du epische Schlachten gewinnen kannst.","En el cuartel podrás entrenar tropas para atacar a los enemigos. Mejóralo, desbloquea unidades avanzadas y vence en épicos combates.",La Caserma ti permette di addestrare le truppe per attaccare i tuoi nemici. Migliora la Caserma per sbloccare unità avanzate in grado di vincere battaglie epiche.,In de kazerne kun je troepen trainen om je vijanden aan te vallen. Upgrade de kazerne om sterke eenheden te ontgrendelen die legendarische gevechten kunnen winnen.,Brakkene lar deg trene soldater for å angripe fiendene dine. Oppgrader brakkene for å åpne avanserte enheter som kan vinne episke slag.,O Quartel permite que você treine tropas para atacar seus inimigos. Atualize o Quartel para desbloquear unidades avançadas que podem ganhar batalhas épicas.,Kışla düşmanlarına saldırmak için asker eğitmeni sağlar. Destansı savaşlar kazanan gelişmiş birimlerin kilidini açmak için Kışlayı yükselt.
TID_BASIC_TURRET_INFO,"Cannons are great for point defense. Upgrade cannons to increase their firepower, but beware that your defensive turrets cannot shoot while being upgraded!","Les canons sont idéaux pour la défense de position. Améliorez vos canons pour augmenter leur puissance de feu, mais n'oubliez pas qu'ils ne peuvent faire feu pendant le processus d'amélioration !","Kanonen sind gut für die Punktverteidigung. Verbessere Kanonen, um ihre Feuerkraft zu erhöhen, aber beachte, dass deine Verteidigungstürme nicht schießen können, während sie verbessert werden!",Los cañones son ideales para defender un punto. Mejóralos para que tengan más potencia. Eso sí: ¡ten en cuenta que no pueden disparar mientras se estén mejorando!,"I cannoni sono ottimi per difendere punti strategici. Migliorali per aumentarne la potenza di fuoco, ma ricordati che le torrette difensive non possono sparare mentre il miglioramento è in corso.",Kanonnen zijn geweldig voor de verdediging. Upgrade kanonnen om hun vuurkracht te verbeteren. Maar let op: verdedigende torens kunnen niet schieten als ze worden geüpgraded!,"Kanoner er knall for punktforsvar. Oppgrader kanoner for å øke ildkraften deres, men vær klar over at forsvarstårnene ikke kan skyte mens de blir oppgradert!","Canhões são excelentes para defesa de ponto. Atualize canhões para aumentar seu poder de fogo, mas cuidado pois suas torres de defesa não podem atirar enquanto estejam sendo atualizadas!","Toplan nokta savunması için idealdir. Ateş gücünü artırmak için topları yükselt, ancak savunma taretlerinin yükseltme sırasında ateş edemeyeceğini unutma!"
TID_BATTLECOST,Cost:,Coût :,Kosten:,Coste:,Costo:,Kosten:,Utgift:,Custo:,Maliyet:
TID_BATTLE_INBOX,Inbox,Boîte aux lettres,Posteingang,Entrada,In arrivo,Postvak In,Innboks,Caixa de Entrada,Gelen Kutusu
TID_BATTLE_LOG,Battle Log,Résumé des batailles,Kampfhistorie,Combates,Resoconto delle battaglie,Logboek,Slaghistorikk,Registro de Batalha,Savaş Günlüğü
TID_BATTLE_LOG_COL_1,Player attacking you:,Agresseur :,Dich angreifender Spieler:,Jugador atacándote:,Giocatore che ti attacca:,Speler die jou aanvalt:,Spiller angriper deg:,Jogador atacando você:,Saldıran oyuncu:
TID_BATTLE_LOG_COL_2,Resources lost:,Ressources perdues :,Ressourcen verloren:,Recursos perdidos:,Risorse perse:,Grondstoffen verloren:,Tapte ressurser:,Recursos perdidos:,Kaybedilen kaynaklar:
TID_BATTLE_LOG_COL_3,Outcome:,Résultat :,Resultat:,Resultado:,Risultato:,Resultaat:,Resultat:,Resultado:,Sonuç:
TID_BATTLE_LOG_ITEM,<name> attacked you <time> ago.,<name> vous a attaqué il y a <time>.,<name> hat dich vor <time> angegriffen.,<name> te ha atacado hace <time>.,<name> ti ha attaccato <time> fa.,<name> heeft je <time> geleden aangevallen.,<name> angrep deg for <time> siden.,<name> atacou <time> atrás.,<name> sana <time> önce saldırdı.
TID_BATTLE_LOG_TITLE,You've been attacked!,Vous avez été attaqué !,Du wurdest angegriffen!,¡Te han atacado!,Sei stato attaccato!,Je bent aangevallen!,Du er blitt angrepet!,Você foi atacado!,Saldırıya uğradın!
TID_BATTLE_START_TIME,Battle starts in:,La bataille commence dans :,Kampf startet in:,La batalla empieza en:,La battaglia inizia tra:,Gevecht begint over:,Slaget starter om:,Batalha começa em:,Savaş başlayacak:
TID_BATTLE_TIME_TITLE,Battle ends in:,La bataille prend fin dans :,Kampf endet in:,La batalla acaba en:,La battaglia termina tra:,Gevecht eindigt over:,Slaget slutter om:,Batalha termina em:,Savaş bitişi:
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,Do you want to link your current game to this Facebook account?,Voulez-vous associer votre partie à votre compte Facebook ?,Möchtest du dein aktuelles Spiel mit diesem Facebook-Konto verknüpfen?,¿Quieres vincular la partida actual con esta cuenta de Facebook?,Vuoi collegare la tua partita a questo account Facebook?,Wil je het huidige spel op dit Facebook-account opslaan?,Vil du koble det gjeldende spillet til denne Facebook-kontoen?,Você quer conectar o seu jogo atual a essa conta do Facebook?,Şu anki oyununu bu Facebook hesabına bağlamak istiyor musun?
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,New Facebook login,Nouvelle identification Facebook,Neue Facebook-Anmeldung,Nueva sesión en Facebook,Nuovo accesso Facebook,Nieuwe Facebook-login,Ny Facebook-pålogging,Novo login do Facebook,Yeni Facebook oturumu
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Do you want to save your current game on this Game Center account?,Voulez-vous sauvegarder votre partie sur ce compte Game Center ?,Möchtest du dein aktuelles Spiel auf diesem Game-Center-Konto speichern?,¿Quieres guardar la partida actual en esta cuenta de Game Center?,Vuoi salvare la tua partita su questo account Game Center?,Wil je het huidige spel op dit Game Center-account opslaan?,Vil du lagre det gjeldende spillet på denne Game Center-kontoen?,Você quer salvar o seu jogo atual nessa conta do Game Center?,Şu anki oyununu bu Game Center hesabına kaydetmek istiyor musun?
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,New Game Center login,Nouvelle identification Game Center,Neue Game-Center-Anmeldung,Nueva sesión en Game Center.,Nuovo accesso Game Center,Nieuwe Game Center-login,Ny Game Center-pålogging,Novo login do Game Center,Yeni Game Center oturumu
TID_BOOST_LEFT,Boost left:,,,,,,,,
TID_BOW_INFO,"The X-Bow shoots mystical bolts with terrifying power. Load it with Elixir and the X-Bow works automagically. You can set it to target ground units at long ranges, or all targets at reduced range.","L'arc-X tire des éclairs mystiques d'une puissance incroyable. Chargez l'arc-X d'élixir afin qu'il fonctionne automagiquement. Vous pouvez choisir de viser les unités au sol à longue distance, ou toutes les cibles à une portée réduite.",Der X-Bogen schießt mystische Bolzen mit Furcht einflößender Kraft ab. Lade ihn mit Elixier und der X-Bogen funktioniert automatisch. Du kannst ihn als Fernwaffe auf Zielbodeneinheiten richten oder in geringer Entfernung auf alle Ziele.,La X-Ballesta lanza rayos místicos con un poder terrorífico. Cárgala de elixir y la X-Ballesta funcionará automágicamente. Puedes configurarlo para alcanzar unidades a larga distancia o para cualquier blanco a una distancia reducida.,L´arco-X scocca dardi mistici dal potere terrificante. Caricalo con Elisir e l´Arco-X si attiverà automaticamente. Puoi impostarlo in modo che colpisca unità di terra a lunga distanza o tutti gli obiettivi a breve distanza.,De X-boog schiet met razendsnelle klodders elixir. Je kunt de boog inzetten tegen gronddoelen op verre afstand of op alle doelen die dichter in de buurt zijn.,"X-buen skyter mystiske stråler med en skrekkelig kraft. Lad den opp med Eliksir, og X-buen virker automagisk. Du kan sikte den inn mot bakkeenheter på langt hold, eller alle mål på kortere avstand.","A Besta dispara setas místicas com um poder assustador. Carregue-a com elixir e a Besta funciona de forma automática. Você pode prepará-la para acertar unidades terrestres a longa distância, ou todos os alvos mais próximos.","X-Topu, inanılmaz güçteki mistik topları ateşler. İksir ile yüklendiğinde X-Topu sihirli bir şekilde otomatik olarak çalışır. Uzun menzildeki kara birimlerine ya da kısa mesafedeki her türlü hedefe nişan alacak şekilde ayarlayabilirsin."
TID_BUILDER,Builder:,Ouvrier :,Bauarbeiter:,Constructor:,Muratore:,Bouwer:,Bygger:,Construtor:,İnşaatçı:
TID_BUILDING_AIR_DEFENSE,Air Defense,Défense antiaérienne,Luftabwehr,Defensa aérea,Difesa aerea,Trebuchet,Luftforsvar,Defesa Aérea,Hava Savunması
